R070,Lisbon,Secure,PRD-45184-705,4402242035297,Canada,Shared Pool,VLBB1919
R085,Naples,Secure,PRD-53409-601,4401139581751,Mexico,Shared Pool,VLBB1917
R085,Naples,Insecure,PRD-53409-700,4402242028052,Canada,Shared Pool,VLBB1925
R086,Liverpool,Insecure,PRD-49737-700,4401139227702,Canada,Shared Pool,VLBB1921
R135,Windermere,Insecure,PRD-59182-700,4402242650590,Canada,Shared Pool,VLBB1924
R135,Windermere,Secure,PRD-59182-701,4401139947820,Canada,Shared Pool,VLBB1920
R144,Classic,Secure,PRD-59715-010,359892050175683,China,Shared Pool,VLBB1890
R144,Classic,Insecure,PRD-59715-700,4402242902975,China,Shared Pool,VLBB1923
R149,Venice,Secure,PRD-60027-801,351623070016823,Mexico,Automation,VLBB1882
R149,Venice,Secure,PRD-60027-801,351623070013762,Mexico,Automation,VLBB1881
R149,Venice,Secure,PRD-60027-801,351623070015627,Mexico,Automation,VLBB1884
R149,Venice,Secure,PRD-60027-700,4402243086950,Canada,Automation,VLBB1887
R149,Venice,Secure,PRD-60027-700,4402243086919,Canada,Automation,VLBB1885
R149,Venice,Secure,PRD-60027-700,4402243086877,Canada,Automation,VLBB1888
R149,Venice,Secure,PRD-60027-801,351623070016633,Mexico,Automation,VLBB1889
R149,Venice,Secure,PRD-60027-801,351623070016963,Mexico,Automation,VLBB1886
R149,Venice,Secure,PRD-60027-801,351623070009588,Mexico,Shared Pool,VLBB1907
R149,Venice,Secure,PRD-60027-801,351623070023522,Mexico,Shared Pool,VLBB1905
R149,Venice,Insecure,PRD-60027-700,4402243080409,Canada,Shared Pool,VLBB1904
R149,Venice,Secure,PRD-60027-801,351623070016559,Mexico,Shared Pool,VLBB1908
R150,Venice,Secure,PRD-60028-700,4402243095639,Mexico,Automation,VLBB1874
R150,Venice,Secure,PRD-60028-700,4402243095936,Mexico,Automation,VLBB1875
R150,Venice,Secure,PRD-60028-700,4402243101460,Mexico,Automation,VLBB1877
R150,Venice,Secure,PRD-60028-700,4402243102054,Mexico,Automation,VLBB1876
R151,Venice,Secure,PRD-60029-700,4402243110586,Mexico,Automation,VLBB1873
R151,Venice,Secure,PRD-60029-700,4402243092024,Mexico,Automation,VLBB1872
R151,Venice,Secure,PRD-60029-700,4402243111105,Mexico,Automation,VLBB1871
R151,Venice,Secure,PRD-60029-700,4402243110826,Mexico,Automation,VLBB1870
R151,Venice,Insecure,PRD-60029-700,4402243090242,Canada,Shared Pool,VLBB1914
R162,Venice,Secure,PRD-61482-700,990004319923250,Mexico,Automation,VLBB1879
R162,Venice,Secure,PRD-61482-700,990004319923425,Mexico,Automation,VLBB1883
R162,Venice,Secure,PRD-61482-700,990004319923383,Mexico,Automation,VLBB1880
R162,Venice,Secure,PRD-61482-700,990004319923359,Mexico,Automation,VLBB1878
R162,Venice,Secure,PRD-61482-700,990004319931618,Mexico,Shared Pool,VLBB1901
R189,Neon,Insecure,PRD-62981-700,4402243120098,China,Automation,VLBB1867
